Date,Adj Close,Open,High,Low,Change %
29-Jul-16,102.06,105.25,105.34,101.95,-3.05%
1-Aug-16,102.39,102.06,102.69,102,0.32%
2-Aug-16,100.89,102.39,102.83,100.67,-1.46%
3-Aug-16,101.23,100.89,101.58,100.73,0.34%
4-Aug-16,101.22,101.25,101.67,100.86,-0.01%
5-Aug-16,101.81,101.22,102.06,100.85,0.58%
8-Aug-16,102.44,101.72,102.67,101.72,0.62%
9-Aug-16,101.89,102.44,102.53,101.77,-0.54%
10-Aug-16,101.28,101.89,101.97,100.95,-0.60%
11-Aug-16,101.95,101.28,102.06,101,0.66%
12-Aug-16,101.31,101.94,102.28,100.83,-0.63%
15-Aug-16,101.25,101.22,101.47,100.86,-0.06%
16-Aug-16,100.31,101.27,101.31,99.56,-0.93%
17-Aug-16,100.27,100.33,101.18,100.05,-0.04%
18-Aug-16,99.89,100.28,100.5,99.64,-0.38%
19-Aug-16,100.22,99.89,100.46,99.86,0.33%
22-Aug-16,100.33,100.42,100.94,100.2,0.11%
23-Aug-16,100.25,100.33,100.41,99.92,-0.08%
24-Aug-16,100.44,100.25,100.62,100.08,0.19%
25-Aug-16,100.53,100.44,100.62,100.28,0.09%
26-Aug-16,101.83,100.53,101.94,100.08,1.29%
29-Aug-16,101.92,101.83,102.41,101.83,0.09%
30-Aug-16,102.97,101.92,103.14,101.75,1.03%
31-Aug-16,103.42,102.95,103.53,102.84,0.44%
1-Sep-16,103.25,103.42,104.02,103.05,-0.16%
2-Sep-16,103.99,103.24,104.33,102.81,0.72%
5-Sep-16,103.44,103.95,104.14,103.14,-0.53%
6-Sep-16,102.02,103.44,103.83,101.94,-1.37%
7-Sep-16,101.73,102.03,102.14,101.2,-0.28%
8-Sep-16,102.5,101.75,102.61,101.41,0.76%
9-Sep-16,102.69,102.48,103.06,101.97,0.19%
12-Sep-16,101.86,102.69,102.8,101.56,-0.81%
13-Sep-16,102.56,101.88,102.77,101.42,0.69%
14-Sep-16,102.42,102.56,103.36,102.25,-0.14%
